Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022],2024 [YR2024]
Angola,AGO,Account  (% age 15+),account.t.d,39.2035423430619,29.3181213047365,..,..,..,..
Angola,AGO,Mobile money account  (% age 15+),mobileaccount.t.d,..,..,..,..,..,..
Angola,AGO,Digitally enabled account  (% age 15+),dig.acc,..,..,..,..,..,..
Angola,AGO,Made a digital payment  (% age 15+),g20.made,..,19.1783594962751,..,..,..,..
Benin,BEN,Account  (% age 15+),account.t.d,10.4639370332736,16.6208334560554,38.4892214232651,48.605530136871,..,51.8432060403598
Benin,BEN,Mobile money account  (% age 15+),mobileaccount.t.d,..,2.02272709275182,18.0938375864279,36.6837174702481,..,44.8728519417161
Benin,BEN,Digitally enabled account  (% age 15+),dig.acc,..,..,..,..,..,47.6605684657781
Benin,BEN,Made a digital payment  (% age 15+),g20.made,..,4.8186478578223,24.9918224772246,41.7683483436908,..,44.6203112716391
Botswana,BWA,Account  (% age 15+),account.t.d,30.2600142850791,51.9645703035045,51.0324508104973,..,58.7631963352309,61.4384690565565
Botswana,BWA,Mobile money account  (% age 15+),mobileaccount.t.d,..,20.7515243647839,24.3783067001658,..,36.5681328673822,51.617815726863
Botswana,BWA,Digitally enabled account  (% age 15+),dig.acc,..,..,..,..,..,56.2114566457489
Botswana,BWA,Made a digital payment  (% age 15+),g20.made,..,37.5132390018499,34.3222778534135,..,46.2425287206129,51.7439922265158
Burkina Faso,BFA,Account  (% age 15+),account.t.d,13.3530920184137,14.3575961084795,43.1599923287733,36.1085342551293,..,51.4274911911242
Burkina Faso,BFA,Mobile money account  (% age 15+),mobileaccount.t.d,..,3.08096956837415,33.0227985441853,24.6651697561207,..,44.1573641486017
Burkina Faso,BFA,Digitally enabled account  (% age 15+),dig.acc,..,..,..,..,..,44.9327417909989
Burkina Faso,BFA,Made a digital payment  (% age 15+),g20.made,..,6.10097919731854,33.5820419068051,30.9928247072072,..,44.6317761441316
Burundi,BDI,Account  (% age 15+),account.t.d,7.23798460936825,7.10575863294663,..,..,..,..
Burundi,BDI,Mobile money account  (% age 15+),mobileaccount.t.d,..,0.746384649432944,..,..,..,..
Burundi,BDI,Digitally enabled account  (% age 15+),dig.acc,..,..,..,..,..,..
Burundi,BDI,Made a digital payment  (% age 15+),g20.made,..,2.24435573804427,..,..,..,..
Cameroon,CMR,Account  (% age 15+),account.t.d,14.8096124143559,12.1777346523732,34.5907908564962,51.6548130092196,..,60.8737908565624
Cameroon,CMR,Mobile money account  (% age 15+),mobileaccount.t.d,..,1.79660492611163,15.1378298780813,42.4330277598216,..,55.0654518411428
Cameroon,CMR,Digitally enabled account  (% age 15+),dig.acc,..,..,..,..,..,56.2458144859644
Cameroon,CMR,Made a digital payment  (% age 15+),g20.made,..,4.8178582898087,24.5019316040605,47.5803030836414,..,56.4561863830592
Central African Republic,CAF,Account  (% age 15+),account.t.d,3.30080913421627,..,13.745946426537,..,..,..
Central African Republic,CAF,Mobile money account  (% age 15+),mobileaccount.t.d,..,..,..,..,..,..
Central African Republic,CAF,Digitally enabled account  (% age 15+),dig.acc,..,..,..,..,..,..
Central African Republic,CAF,Made a digital payment  (% age 15+),g20.made,..,..,6.35585927578138,..,..,..
Chad,TCD,Account  (% age 15+),account.t.d,8.95974560162476,12.4333450664986,21.7591926547872,..,23.6513333879631,20.8983599359361
Chad,TCD,Mobile money account  (% age 15+),mobileaccount.t.d,..,5.75010661597306,15.233409757356,..,12.0867651642758,13.3358944308869
Chad,TCD,Digitally enabled account  (% age 15+),dig.acc,..,..,..,..,..,15.9149060218595
Chad,TCD,Made a digital payment  (% age 15+),g20.made,..,6.50462850220516,17.3154234461275,..,15.8923926244144,13.2087726138527
Comoros,COM,Account  (% age 15+),account.t.d,21.6946740447008,..,..,..,34.2501735467595,45.4593974142566
