Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022],2024 [YR2024]
Angola,AGO,"Population, total",SP.POP.TOTL,24218352,27160769,30234839,34532429,35635029,37885849
Angola,AGO,"Population ages 0-14, total",SP.POP.0014.TO,10934479,12283698,13681515,15508255,15949482,16802739
Benin,BEN,"Population, total",SP.POP.TOTL,10093623,11030004,12039780,13413417,13759501,14462724
Benin,BEN,"Population ages 0-14, total",SP.POP.0014.TO,4417242,4796141,5202150,5687136,5795589,6009622
Botswana,BWA,"Population, total",SP.POP.TOTL,2073535,2172044,2266747,2401441,2439892,2521139
Botswana,BWA,"Population ages 0-14, total",SP.POP.0014.TO,705533,747442,769293,782520,791092,810033
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,16661908,18229461,19894407,21995243,22509038,23548781
Burkina Faso,BFA,"Population ages 0-14, total",SP.POP.0014.TO,7602737,8308583,8976861,9571592,9671755,9843868
Burundi,BDI,"Population, total",SP.POP.TOTL,9717978,10799785,11506762,12965481,13321097,14047786
Burundi,BDI,"Population ages 0-14, total",SP.POP.0014.TO,4410983,5011754,5517425,6031429,6126225,6279206
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,511447,512326,512893,516649,519741,524877
Cabo Verde,CPV,"Population ages 0-14, total",SP.POP.0014.TO,159921,149556,145709,144620,141237,134092
Cameroon,CMR,"Population, total",SP.POP.TOTL,20232304,22059893,24128601,26915758,27632771,29123744
Cameroon,CMR,"Population ages 0-14, total",SP.POP.0014.TO,8832787,9565306,10370945,11389621,11621846,12069528
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4565021,4623182,4793511,5112100,5098039,5330690
Central African Republic,CAF,"Population ages 0-14, total",SP.POP.0014.TO,2114303,2240118,2350024,2505098,2509012,2612217
Chad,TCD,"Population, total",SP.POP.TOTL,12754997,14188678,15622759,17828273,18455316,20299123
Chad,TCD,"Population ages 0-14, total",SP.POP.0014.TO,6217583,6882619,7561229,8500908,8748503,9350715
Comoros,COM,"Population, total",SP.POP.TOTL,668056,711503,756669,818174,834188,866628
Comoros,COM,"Population ages 0-14, total",SP.POP.0014.TO,274082,284366,297201,310939,314644,321704
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,70849311,78403242,87083398,99148932,102396968,109276265
