Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022],2024 [YR2024]
Angola,AGO,Saved any money  (% age 15+),save.any.t.d,..,53.0579030355254,..,..,..,..
Angola,AGO,Borrowed from a mobile money provider  (% age 15+),fin22a_1,..,..,..,..,..,..
Angola,AGO,Received government payments  (% age 15+),fing2p,..,..,..,..,..,..
Angola,AGO,"Received government payments: into a bank or similar financial institution account (% of government payment recipients, age 15+)",fing2p.fin.s,..,..,..,..,..,..
Angola,AGO,"Received government payments: into an account (% of government payment recipients, age 15+)",fing2p.acc.s,..,..,..,..,..,..
Angola,AGO,"Received government payments: through a mobile phone (% of government payment recipients, age 15+)",fing2p.mob.s,..,..,..,..,..,..
Angola,AGO,"Received government payments: to a card (% of government payment recipients, age 15+)",fing2p.card.s,..,..,..,..,..,..
Angola,AGO,"Received government payments: in cash only (% of government payment recipients, age 15+)",fing2p.cash.s,..,..,..,..,..,..
Angola,AGO,Received private sector wages  (% age 15+),fin32.n33,..,5.80599216139339,..,..,..,..
Angola,AGO,"Received private sector wages: in cash only (% of private sector wage recipients, age 15+)",fin32.n33.34c.s,..,..,..,..,..,..
Angola,AGO,"Received private sector wages: into a bank or similar financial institution account (% of private sector wage recipients, age 15+)",fin32.n33.34a.s,..,..,..,..,..,..
Angola,AGO,"Received private sector wages: into an account (% of private sector wage recipients, age 15+)",fin32.n33.acc.s,..,..,..,..,..,..
Angola,AGO,"Received private sector wages: through a mobile phone (% of private sector wage recipients, age 15+)",fin32.n33.34b.s,..,..,..,..,..,..
Angola,AGO,"Received private sector wages: to a card (% of private sector wage recipients, age 15+)",fin32.n33.34d.s,..,..,..,..,..,..
Benin,BEN,Saved any money  (% age 15+),save.any.t.d,..,61.099577903494,49.3417632296652,47.0441571416097,..,58.2242556860112
Benin,BEN,Borrowed from a mobile money provider  (% age 15+),fin22a_1,..,..,..,4.20947800062833,..,5.25344187338612
Benin,BEN,Received government payments  (% age 15+),fing2p,..,..,9.20176640354992,7.33875143403366,..,6.73257195289246
Benin,BEN,"Received government payments: into a bank or similar financial institution account (% of government payment recipients, age 15+)",fing2p.fin.s,..,..,..,..,..,..
Benin,BEN,"Received government payments: into an account (% of government payment recipients, age 15+)",fing2p.acc.s,..,..,..,..,..,..
Benin,BEN,"Received government payments: through a mobile phone (% of government payment recipients, age 15+)",fing2p.mob.s,..,..,..,..,..,..
Benin,BEN,"Received government payments: to a card (% of government payment recipients, age 15+)",fing2p.card.s,..,..,..,..,..,..
Benin,BEN,"Received government payments: in cash only (% of government payment recipients, age 15+)",fing2p.cash.s,..,..,..,..,..,..
Benin,BEN,Received private sector wages  (% age 15+),fin32.n33,..,9.74610622512064,10.7030784859897,11.7984424644228,..,8.4751985447537
Benin,BEN,"Received private sector wages: in cash only (% of private sector wage recipients, age 15+)",fin32.n33.34c.s,..,..,..,..,..,..
Benin,BEN,"Received private sector wages: into a bank or similar financial institution account (% of private sector wage recipients, age 15+)",fin32.n33.34a.s,..,..,..,..,..,..
Benin,BEN,"Received private sector wages: into an account (% of private sector wage recipients, age 15+)",fin32.n33.acc.s,..,..,..,..,..,..
Benin,BEN,"Received private sector wages: through a mobile phone (% of private sector wage recipients, age 15+)",fin32.n33.34b.s,..,..,..,..,..,..
Benin,BEN,"Received private sector wages: to a card (% of private sector wage recipients, age 15+)",fin32.n33.34d.s,..,..,..,..,..,..
Botswana,BWA,Saved any money  (% age 15+),save.any.t.d,..,58.1685612727885,46.8432360054172,..,52.0439103886249,54.7435093880444
Botswana,BWA,Borrowed from a mobile money provider  (% age 15+),fin22a_1,..,..,..,..,2.90110379595349,19.3960381380921
Botswana,BWA,Received government payments  (% age 15+),fing2p,..,..,21.4130599999536,..,20.6928786281959,21.2597084337341
Botswana,BWA,"Received government payments: into a bank or similar financial institution account (% of government payment recipients, age 15+)",fing2p.fin.s,..,..,..,..,48.4987723371974,..
Botswana,BWA,"Received government payments: into an account (% of government payment recipients, age 15+)",fing2p.acc.s,..,..,58.8986473903129,..,61.0099189644934,49.2645380861068
Botswana,BWA,"Received government payments: through a mobile phone (% of government payment recipients, age 15+)",fing2p.mob.s,..,..,..,..,..,..
Botswana,BWA,"Received government payments: to a card (% of government payment recipients, age 15+)",fing2p.card.s,..,..,..,..,..,..
