Country,Code,Year,Account,Digitally enabled Account,Made a Digital Payment,Mobile Money Account,Internet_users,GDP,Mobile_cellular_subscription,Commercial_bank_branches,Poverty_ratio,Urban_population,Bank Account,Financial_Institution_Account_only,Mobile_Money_Account_only,Both_Accounts
Angola,AGO,2011,39.2,,,,4.7,5184.15,49.85,8.14,,60.84,39.2,,0.0,
Angola,AGO,2014,29.32,,19.18,,21.36,5649.69,51.74,10.02,,62.72,29.32,,0.0,
Angola,AGO,2017,,,,,26.0,2790.72,44.07,9.88,,65.09,,,,
Angola,AGO,2021,,,,,34.56,2303.91,44.39,8.04,,68.25,,,,
Angola,AGO,2022,,,,,35.84,3682.11,66.6,7.58,,69.05,,,,
Angola,AGO,2024,,,,,40.7,2665.87,69.7,,,70.66,,,,
Benin,BEN,2011,10.46,,,,4.15,1059.41,76.93,3.19,,43.46,10.46,,0.0,
Benin,BEN,2014,16.62,,4.82,2.02,6.0,1204.4,78.52,3.35,,45.29,15.98,14.600000000000001,0.6400000000000006,1.379999999999999
Benin,BEN,2017,38.49,,24.99,18.09,18.7,1054.97,72.87,3.27,,47.29,31.88,20.400000000000002,6.610000000000003,11.479999999999997
Benin,BEN,2021,48.61,,41.77,36.68,28.2,1318.65,94.92,3.38,36.2,50.2,23.79,11.93,24.82,11.86
Benin,BEN,2022,,,,,30.54,1266.43,105.75,2.9,,50.96,,,,
Benin,BEN,2024,51.84,47.66,44.62,44.87,33.98,1485.38,125.94,,,52.55,19.91,6.970000000000006,31.930000000000003,12.939999999999998
Botswana,BWA,2011,30.26,,,,9.0,7287.38,139.87,8.32,,64.02,30.26,,0.0,
Botswana,BWA,2014,51.96,,37.51,20.75,36.74,7122.36,157.02,8.7,,65.1,49.24,31.21,2.719999999999999,18.03
Botswana,BWA,2017,51.03,,34.32,24.38,43.58,7104.96,142.96,7.61,,65.95,44.83,26.650000000000002,6.200000000000003,18.179999999999993
Botswana,BWA,2021,,,,,54.7,7807.89,173.25,6.91,,66.52,,,,
